hierarchy,title,field,subsection title,subsection content,record_id
TP,Socket RAPL Feature Validation at SOC Integration Level,description,Overview *,"This test plan targets the post-silicon validation of Socket RAPL functionality at the highest feature hierarchy, focusing on its integration and operation within the SOC. Socket RAPL provides power and frequency limit enforcement across multiple domains (core, memory, etc.), interfacing with BIOS, TPMI, and various IPs. Key flows include BIOS initialization and locking of RAPL limits, TPMI-based domain enumeration and access, propagation of power/frequency ceilings from root to leaf IMHs and CBB dies, aggregation and real-time reporting of performance status, and coordinated enforcement via cross-domain PID controllers. The plan covers interactions between BIOS, TPMI, IMHs, CBB dies, and system-level status reporting, ensuring robust enforcement and accurate system state reflection under all operational and stress scenarios.",1
TP,Socket RAPL Feature Validation at SOC Integration Level,description,Scope *,"The scope encompasses validation of BIOS and TPMI configuration integrity (including programming, locking, and domain enumeration), propagation and enforcement of power/frequency limits across all IPs, aggregation and reporting of LEAF_PERF_STATUS and RAPL_PERF_STATUS, stress and boundary testing (including negative scenarios and error handling), and cross-domain PID controller interactions. All flows from initialization to runtime enforcement, status reporting, and system response to invalid or extreme configurations are included. Out-of-scope items are any features not directly related to Socket RAPL, such as non-RAPL power management, unrelated BIOS/TPMI features, or IPs outside the RAPL domain.",1
TP,Socket RAPL Feature Validation at SOC Integration Level,description,Known_limitations *,,1
TP,Socket RAPL Feature Validation at SOC Integration Level,description,Common_requirements *,"All features require access to BIOS configuration interfaces, TPMI registers, CSR access for RAPL limits and lock bits, and system-level monitoring tools for status registers. Hardware must support domain enumeration and real-time status reporting. Stress tools for generating extreme power/frequency demands and error injection capabilities are needed.",1
TP,Socket RAPL Feature Validation at SOC Integration Level,description,Security_threat_models *,"Potential security threats include unauthorized modification of RAPL limits post-lock, improper domain enumeration exposing sensitive configuration, and manipulation of status reporting. Mitigations involve strict enforcement of lock bits, access control on TPMI and CSR interfaces, and validation of error handling for invalid configuration attempts.",1
TP,Socket RAPL Feature Validation at SOC Integration Level,description,Risks_and_contingencies *,"Risks include incomplete coverage of cross-domain interactions, undetected failures in lock enforcement, and inaccurate status aggregation under stress. Contingencies involve additional targeted testing for edge cases, enhanced monitoring during stress scenarios, and fallback to manual validation if automated tools fail.",1
TP,Socket RAPL Feature Validation at SOC Integration Level,description,Prerequisites *,"Prerequisites include a fully functional BIOS with RAPL programming capability, TPMI register access, SOC hardware supporting all RAPL domains, and availability of stress and error injection tools. Initial domain mapping and lock bit configuration must be completed prior to test execution.",1
TPF,Cross-Domain PID Controller Interaction,description,Description *,"Validate that when multiple RAPL domains are enabled, the system enforces the most constraining limit. Test transitions between domains, parallel flows, and coordination between memory and core throttling. Expected outcome: minimum PID output determines frequency ceiling, and all domains interact without conflict.",1.1
TCD,Cross-Domain Minimum PID Output Enforcement,description,Description *,"Validate that the minimum PID output across all enabled RAPL domains sets the frequency ceiling for all cores and fabrics, and that only one perf limit reason flag is asserted at any time.",1.1.1
TCD,Cross-Domain Minimum PID Output Enforcement,description,Algorithm of Testing *,"Randomly program PL1 and PL2 limits for Socket, Platform, and DRAM RAPL domains using CSR and TPMI, apply varying workloads, and observe RAPL_PERF_LIMIT HPM messages to verify frequency ceiling and perf limit flag behavior.",1.1.1
TCD,Cross-Domain Minimum PID Output Enforcement,description,Randomization *,Randomize PL1/PL2 limits for each domain and workload patterns to cover all possible combinations of domain constraints.,1.1.1
TCD,Cross-Domain Minimum PID Output Enforcement,description,Required Configurations and Dependencies *,"Requires CSR and TPMI interfaces, HPM message monitoring, and ability to sample core/uncore frequencies and perf limit flags.",1.1.1
TCD,Cross-Domain Minimum PID Output Enforcement,description,Cross-Feature Interaction *,"Involves Socket RAPL, Platform RAPL, DRAM RAPL, IMH-P, IMH-S, CBBs, and their interaction via HPM messages and frequency ceiling enforcement.",1.1.1
TCD,Cross-Domain Minimum PID Output Enforcement,description,DFx Requirements *,Must observe 1-hot perf limit flag assertion and verify no domain's power limit is violated; debug via HPM message and frequency sampling.,1.1.1
TC,Randomized RAPL Limit Programming and Frequency Ceiling Enforcement,description,TC Description *,"Randomly program PL1 and PL2 limits for Socket, Platform, and DRAM RAPL domains using CSR and TPMI interfaces. Apply workloads that drive power consumption above and below the programmed limits for each domain. Continuously monitor RAPL_PERF_LIMIT HPM messages, core and uncore frequencies, and perf limit reason flags. Verify that the minimum PID output across all enabled domains determines the frequency ceiling for all cores and fabrics, and that only one perf limit reason flag is asserted at any time.",1.1.1.1
TC,Randomized RAPL Limit Programming and Frequency Ceiling Enforcement,description,Test Steps *,"1. Enable and configure independent PL1 and PL2 limits for Socket, Platform, and DRAM RAPL domains via CSR and TPMI. 2. Randomly select legal values for PL1 and PL2 for each domain and program them. 3. Apply workloads that vary power consumption in each domain above and below their respective limits. 4. Sample RAPL_PERF_LIMIT HPM messages every 500us/1ms and record RAPL_PID_FREQ_OUTPUT and RACL_PID_FREQ_OUTPUT fields. 5. Sample core and uncore frequencies at the same interval. 6. Check that the minimum PID output from all enabled domains matches the frequency ceiling applied to all cores and fabrics. 7. Verify that only one perf limit reason flag is asserted at any time, following the documented priority. 8. Repeat for multiple randomizations to cover all domain combinations.",1.1.1.1
TC,Randomized RAPL Limit Programming and Frequency Ceiling Enforcement,description,Pass/Fail Criteria &amp; HW Errors *,"Pass if at all times the most constraining (lowest) PID output from any enabled domain sets the frequency ceiling, and only one perf limit reason flag is asserted. Fail if any domain's power limit is exceeded, if frequency ceiling does not match minimum PID output, or if more than one perf limit reason flag is asserted.",1.1.1.1
TC,Randomized RAPL Limit Programming and Frequency Ceiling Enforcement,description,Intent Verify *,"Use Visa/PMON to sample HPM messages, core/uncore frequencies, and perf limit flags. Cross-check logs for frequency ceiling and flag assertion.",1.1.1.1
TC,Randomized RAPL Limit Programming and Frequency Ceiling Enforcement,description,Validation Automation Global Checkers *,"Enable SST, Central, and Concurrency checkers. Enable PVT checkers for RAPL domain enforcement and frequency ceiling logic.",1.1.1.1
TC,Randomized RAPL Limit Programming and Frequency Ceiling Enforcement,description,Validation SW *,"Tool and Content Requirements: Use OSBV/SVOS (latest validated version), PMON (latest), Perspec path for workload generation, PythonSV for register access, Supercollider for concurrency stress, and Prime95 for synthetic workload.",1.1.1.1
