hierarchy,title,field,subsection title,subsection content,record_id
TP,Socket RAPL Feature Validation at SOC Integration Level,description,Overview *,"This test plan targets the post-silicon validation of Socket RAPL functionality at the highest feature hierarchy, focusing on its integration and operation within the SOC. Socket RAPL provides power and frequency limit enforcement across multiple domains (core, memory, etc.), interfacing with BIOS, TPMI, and various IPs. Key flows include BIOS initialization and locking of RAPL limits, TPMI-based domain enumeration and access, propagation of power/frequency ceilings from root to leaf IMHs and CBB dies, aggregation and real-time reporting of performance status, and coordinated enforcement via cross-domain PID controllers. The plan covers interactions between BIOS, TPMI, IMHs, CBB dies, and system-level status reporting, ensuring robust enforcement and accurate system state reflection under all operational and stress scenarios.",1
TP,Socket RAPL Feature Validation at SOC Integration Level,description,Scope *,"The scope encompasses validation of BIOS and TPMI configuration integrity (including programming, locking, and domain enumeration), propagation and enforcement of power/frequency limits across all IPs, aggregation and reporting of LEAF_PERF_STATUS and RAPL_PERF_STATUS, stress and boundary testing (including negative scenarios and error handling), and cross-domain PID controller interactions. All flows from initialization to runtime enforcement, status reporting, and system response to invalid or extreme configurations are included. Out-of-scope items are any features not directly related to Socket RAPL, such as non-RAPL power management, unrelated BIOS/TPMI features, or IPs outside the RAPL domain.",1
TP,Socket RAPL Feature Validation at SOC Integration Level,description,Known_limitations *,,1
TP,Socket RAPL Feature Validation at SOC Integration Level,description,Common_requirements *,"All features require access to BIOS configuration interfaces, TPMI registers, CSR access for RAPL limits and lock bits, and system-level monitoring tools for status registers. Hardware must support domain enumeration and real-time status reporting. Stress tools for generating extreme power/frequency demands and error injection capabilities are needed.",1
TP,Socket RAPL Feature Validation at SOC Integration Level,description,Security_threat_models *,"Potential security threats include unauthorized modification of RAPL limits post-lock, improper domain enumeration exposing sensitive configuration, and manipulation of status reporting. Mitigations involve strict enforcement of lock bits, access control on TPMI and CSR interfaces, and validation of error handling for invalid configuration attempts.",1
TP,Socket RAPL Feature Validation at SOC Integration Level,description,Risks_and_contingencies *,"Risks include incomplete coverage of cross-domain interactions, undetected failures in lock enforcement, and inaccurate status aggregation under stress. Contingencies involve additional targeted testing for edge cases, enhanced monitoring during stress scenarios, and fallback to manual validation if automated tools fail.",1
TP,Socket RAPL Feature Validation at SOC Integration Level,description,Prerequisites *,"Prerequisites include a fully functional BIOS with RAPL programming capability, TPMI register access, SOC hardware supporting all RAPL domains, and availability of stress and error injection tools. Initial domain mapping and lock bit configuration must be completed prior to test execution.",1
TPF,Status Aggregation & Reporting,description,Description *,"Validate aggregation and reporting of LEAF_PERF_STATUS and RAPL_PERF_STATUS across all domains. Trigger stress events, boundary conditions, and throttling, then confirm that status registers accurately reflect which IPs are limited and the system's response. Expected outcome: status registers are updated in real time and correctly represent system state.",1.1
TCD,Stress-Induced Throttling: Real-Time Update of LEAF_PERF_STATUS and RAPL_PERF_STATUS Across Domains,description,Description *,Validate real-time updates and aggregation of LEAF_PERF_STATUS and RAPL_PERF_STATUS counters during stress-induced power excursions across RAPL domains.,1.1.1
TCD,Stress-Induced Throttling: Real-Time Update of LEAF_PERF_STATUS and RAPL_PERF_STATUS Across Domains,description,Algorithm of Testing *,"Configure RAPL limits near expected workload, apply randomized high-power stress to cores/memory, and sample status registers at &lt;1ms intervals to observe real-time counter increments and aggregation.",1.1.1
TCD,Stress-Induced Throttling: Real-Time Update of LEAF_PERF_STATUS and RAPL_PERF_STATUS Across Domains,description,Randomization *,"Randomly select subsets of cores and memory channels, vary number and location of stressed elements per iteration to maximize coverage.",1.1.1
TCD,Stress-Induced Throttling: Real-Time Update of LEAF_PERF_STATUS and RAPL_PERF_STATUS Across Domains,description,Required Configurations and Dependencies *,"All RAPL domains enabled and configured via CSR/TPMI, CBBs and IMHs operational, platform default settings, logging infrastructure for HPM messages and status registers.",1.1.1
TCD,Stress-Induced Throttling: Real-Time Update of LEAF_PERF_STATUS and RAPL_PERF_STATUS Across Domains,description,Cross-Feature Interaction *,"Involves CBBs, IMHs, RAPL domains (Socket, Platform, DRAM), and HPM message aggregation; counters are aggregated from CBBs to IMHs and up to IMH-P.",1.1.1
TCD,Stress-Induced Throttling: Real-Time Update of LEAF_PERF_STATUS and RAPL_PERF_STATUS Across Domains,description,DFx Requirements *,"Explicit logging of LEAF_PERF_STATUS and RAPL_PERF_STATUS fields, observability of aggregation, and verification of no missed or spurious increments.",1.1.1
TC,Real-Time Counter Update Under Randomized Stress,description,TC Description *,Configure all RAPL domains with power limits near expected workload consumption using CSR/TPMI. Randomly select a subset of cores and/or memory channels and apply high-power workloads to exceed the set limits. Continuously sample LEAF_PERF_STATUS HPM messages from CBBs to IMHs and RAPL_PERF_STATUS registers at IMH-P and IMH-S at intervals less than 1ms. Explicitly log the relevant fields for each domain. Remove stress and observe counter behavior.,1.1.1.1
TC,Real-Time Counter Update Under Randomized Stress,description,Test Steps *,"1. Boot system with all RAPL domains enabled and configured via CSR/TPMI. 2. Set Socket, Platform, and DRAM RAPL power limits near expected workload. 3. Randomly select cores/memory channels and apply high-power workloads to trigger power excursions. 4. Sample and log LEAF_PERF_STATUS and RAPL_PERF_STATUS at &lt;1ms intervals during stress. 5. Remove stress and continue sampling. 6. Repeat with different random subsets and locations.",1.1.1.1
TC,Real-Time Counter Update Under Randomized Stress,description,Pass/Fail Criteria &amp; HW Errors *,"Pass if LEAF_PERF_STATUS and RAPL_PERF_STATUS counters increment in real time for affected domains during stress, aggregate correctly to IMH-P, and stop incrementing when stress is removed. Fail if there are missed, spurious, or delayed increments, or incorrect aggregation.",1.1.1.1
TC,Real-Time Counter Update Under Randomized Stress,description,Intent Verify *,"Review logs of LEAF_PERF_STATUS and RAPL_PERF_STATUS fields for real-time, accurate, and location-correct increments. Confirm aggregation matches pseudocode.",1.1.1.1
TC,Real-Time Counter Update Under Randomized Stress,description,Validation Automation Global Checkers *,"Enable SST, Central, and Concurrency checkers. Enable PVT checkers for RAPL domain aggregation and real-time update.",1.1.1.1
TC,Real-Time Counter Update Under Randomized Stress,description,Validation SW *,"Tool and Content Requirements: Use OSBV/SVOS with supported version, PMON for power/performance monitoring, PythonSV for register access, Supercollider for workload generation, and logging tools for HPM messages.",1.1.1.1
