hierarchy,title,field,subsection title,subsection content,record_id
TP,Socket RAPL Feature Validation at SOC Integration Level,description,Overview *,"This test plan targets the post-silicon validation of Socket RAPL functionality at the highest feature hierarchy, focusing on its integration and operation within the SOC. Socket RAPL provides power and frequency limit enforcement across multiple domains (core, memory, etc.), interfacing with BIOS, TPMI, and various IPs. Key flows include BIOS initialization and locking of RAPL limits, TPMI-based domain enumeration and access, propagation of power/frequency ceilings from root to leaf IMHs and CBB dies, aggregation and real-time reporting of performance status, and coordinated enforcement via cross-domain PID controllers. The plan covers interactions between BIOS, TPMI, IMHs, CBB dies, and system-level status reporting, ensuring robust enforcement and accurate system state reflection under all operational and stress scenarios.",1
TP,Socket RAPL Feature Validation at SOC Integration Level,description,Scope *,"The scope encompasses validation of BIOS and TPMI configuration integrity (including programming, locking, and domain enumeration), propagation and enforcement of power/frequency limits across all IPs, aggregation and reporting of LEAF_PERF_STATUS and RAPL_PERF_STATUS, stress and boundary testing (including negative scenarios and error handling), and cross-domain PID controller interactions. All flows from initialization to runtime enforcement, status reporting, and system response to invalid or extreme configurations are included. Out-of-scope items are any features not directly related to Socket RAPL, such as non-RAPL power management, unrelated BIOS/TPMI features, or IPs outside the RAPL domain.",1
TP,Socket RAPL Feature Validation at SOC Integration Level,description,Known_limitations *,,1
TP,Socket RAPL Feature Validation at SOC Integration Level,description,Common_requirements *,"All features require access to BIOS configuration interfaces, TPMI registers, CSR access for RAPL limits and lock bits, and system-level monitoring tools for status registers. Hardware must support domain enumeration and real-time status reporting. Stress tools for generating extreme power/frequency demands and error injection capabilities are needed.",1
TP,Socket RAPL Feature Validation at SOC Integration Level,description,Security_threat_models *,"Potential security threats include unauthorized modification of RAPL limits post-lock, improper domain enumeration exposing sensitive configuration, and manipulation of status reporting. Mitigations involve strict enforcement of lock bits, access control on TPMI and CSR interfaces, and validation of error handling for invalid configuration attempts.",1
TP,Socket RAPL Feature Validation at SOC Integration Level,description,Risks_and_contingencies *,"Risks include incomplete coverage of cross-domain interactions, undetected failures in lock enforcement, and inaccurate status aggregation under stress. Contingencies involve additional targeted testing for edge cases, enhanced monitoring during stress scenarios, and fallback to manual validation if automated tools fail.",1
TP,Socket RAPL Feature Validation at SOC Integration Level,description,Prerequisites *,"Prerequisites include a fully functional BIOS with RAPL programming capability, TPMI register access, SOC hardware supporting all RAPL domains, and availability of stress and error injection tools. Initial domain mapping and lock bit configuration must be completed prior to test execution.",1
TPF,"Stress, Boundary & Negative Scenarios",description,Description *,"Apply extreme power/frequency demands, disable limits, and attempt invalid configurations (e.g., locked register modification, turbo disable). Observe system-level error handling, throttling, and status updates. Expected outcome: system remains stable, errors are handled gracefully, and limits are enforced under all conditions.",1.1
TCD,Stress Test: Extreme Power and Frequency Demand with RAPL Limits Disabled,description,Description *,This test validates system behavior when RAPL power limits are maximized or disabled and FastRAPL is turned off under extreme workload conditions.,1.1.1
TCD,Stress Test: Extreme Power and Frequency Demand with RAPL Limits Disabled,description,Algorithm of Testing *,"Configure PL1 and PL2 to maximum allowed values, disable FastRAPL, apply maximum synthetic workload, and observe system response and throttling mechanisms.",1.1.1
TCD,Stress Test: Extreme Power and Frequency Demand with RAPL Limits Disabled,description,Randomization *,No explicit randomization; test uses maximum allowed values for PL1/PL2 and disables FastRAPL.,1.1.1
TCD,Stress Test: Extreme Power and Frequency Demand with RAPL Limits Disabled,description,Required Configurations and Dependencies *,"Requires BIOS/CSR interface unlocked, access to CSR/TPMI, mailbox command for FastRAPL, and synthetic workload generator.",1.1.1
TCD,Stress Test: Extreme Power and Frequency Demand with RAPL Limits Disabled,description,Cross-Feature Interaction *,"Involves RAPL, FastRAPL, PROCHOT/PMAX hardware throttling, IMON, and RAPL status registers.",1.1.1
TCD,Stress Test: Extreme Power and Frequency Demand with RAPL Limits Disabled,description,DFx Requirements *,"Observability via IMON, RAPL energy status, RAPL_perf_status, and IO_THERM_INDICATIONS.FAST_RAPL_THROTTLE[22].",1.1.1
TC,Maximize RAPL Limits and Disable FastRAPL Under Extreme Workload,description,TC Description *,"Boot the system with BIOS/CSR interface unlocked. Set Socket RAPL PL1 and PL2 limits to their maximum allowed values using CSR or TPMI. Disable FastRAPL by issuing the WRITE_PCU_MISC_CONFIG mailbox command. Apply a synthetic workload that drives all cores and uncore to 100% utilization and maximizes memory bandwidth. Monitor IMON, RAPL energy status, RAPL_perf_status, and IO_THERM_INDICATIONS.FAST_RAPL_THROTTLE[22] throughout the test. Observe system power consumption and any hardware throttling events.",1.1.1.1
TC,Maximize RAPL Limits and Disable FastRAPL Under Extreme Workload,description,Test Steps *,"1. Boot system with BIOS/CSR interface unlocked. 2. Set PL1 and PL2 to maximum allowed values via CSR or TPMI. 3. Disable FastRAPL using WRITE_PCU_MISC_CONFIG mailbox command. 4. Launch synthetic workload to maximize core and uncore activity. 5. Continuously monitor IMON, RAPL energy status, RAPL_perf_status, and IO_THERM_INDICATIONS.FAST_RAPL_THROTTLE[22]. 6. Observe for any assertion of PROCHOT/PMAX or other hardware throttling. 7. After sustained workload, stop the test and collect logs.",1.1.1.1
TC,Maximize RAPL Limits and Disable FastRAPL Under Extreme Workload,description,Pass/Fail Criteria &amp; HW Errors *,"Pass if system power consumption does not exceed platform physical constraints (TDP, VR, PSU), hardware throttling (PROCHOT/PMAX) is asserted if needed, and no system instability or unhandled errors occur. Fail if system exceeds physical constraints, does not throttle, or experiences instability.",1.1.1.1
TC,Maximize RAPL Limits and Disable FastRAPL Under Extreme Workload,description,Intent Verify *,"Confirm via IMON, RAPL energy status, RAPL_perf_status, and IO_THERM_INDICATIONS.FAST_RAPL_THROTTLE[22] logs that throttling occurs as expected and no errors are present.",1.1.1.1
TC,Maximize RAPL Limits and Disable FastRAPL Under Extreme Workload,description,Validation Automation Global Checkers *,"Enable SST, Central, and Concurrency checkers. Enable PVT checkers for power and thermal events.",1.1.1.1
TC,Maximize RAPL Limits and Disable FastRAPL Under Extreme Workload,description,Validation SW *,"Tool and Content Requirements: Use OSBV/SVOS with supported version, PMON for power monitoring, PythonSV for register access, and synthetic workload generator for stress.",1.1.1.1
