hierarchy,title,field,subsection title,subsection content,record_id
TP,CCF Power Management Flows: Top-Level Validation,description,Overview *,"This test plan targets the top-level validation of CCF (Central Control Fabric) power management (PM) flows within the SOC. It covers coordinated power state transitions, resource arbitration, stress detection and response, license handshake and arbitration, policy-driven flow control, and system-level observability and debug. CCF integrates with PMA, Punit, and core modules to orchestrate power state changes (C-states, frequency/voltage scaling), manage exclusive access to shared resources (MLC flush, IOSF channels), and enforce system policies. Key interactions include cross-module synchronization, telemetry-driven stress handling, license negotiation, and debug visibility, ensuring robust and safe PM flow operation under normal and stress conditions.",1
TP,CCF Power Management Flows: Top-Level Validation,description,Scope *,"This test plan encompasses validation of: (1) coordinated state transitions and resource arbitration across cores/modules, including exclusive access scenarios; (2) telemetry and AI-based stress detection and response mechanisms for electrical, thermal, and power virus events; (3) license handshake and arbitration flows between PMA, Punit, and cores; (4) policy-driven flow control and ownership prioritization; (5) system-level observability and debug mechanisms for PM flows, stress events, and arbitration outcomes. The plan addresses normal operation, stress scenarios, contention, race conditions, and system recovery. It does not cover lower-level signal integrity or individual IP-specific PM flows outside CCF orchestration.",1
TP,CCF Power Management Flows: Top-Level Validation,description,Known_limitations *,,1
TP,CCF Power Management Flows: Top-Level Validation,description,Common_requirements *,"All features require access to SOC-level debug and telemetry infrastructure, programmable stress injection capabilities, and synchronized PMA/Punit/core interfaces. Test environment must support controlled stress event generation, license arbitration triggers, and policy configuration. Observability tools must be available for real-time status monitoring and debug.",1
TP,CCF Power Management Flows: Top-Level Validation,description,Security_threat_models *,"Potential security implications include unauthorized PM flow initiation, license spoofing, and denial-of-service via resource contention. Mitigations involve policy gating, license arbitration, and observability mechanisms to detect and prevent malicious or unintended transitions. Validation will ensure that security/performance policies are enforced and that flow ownership is correctly prioritized under stress and error conditions.",1
TP,CCF Power Management Flows: Top-Level Validation,description,Risks_and_contingencies *,"Risks include incomplete coverage of simultaneous stress events, false positives in stress detection, and loss of debug visibility under high contention. Contingencies involve fallback flows, enhanced observability, and additional stress scenario coverage to ensure robustness and survivability.",1
TP,CCF Power Management Flows: Top-Level Validation,description,Prerequisites *,"Prerequisites include validated PMA/Punit/core interfaces, functional telemetry and debug infrastructure, and programmable policy and license configuration. Stress injection tools and observability mechanisms must be operational prior to test execution.",1
TPF,License Handshake and Safe Transition Arbitration,description,Description *,"Validate ICCP/PVP license handshakes and arbitration across PMA, Punit, and cores. Trigger overlapping and conflicting license requests, ensuring only dominant licenses are granted, transitions are synchronized, and safe work-points are applied. Check for correct handling of license revocation and transition aborts under stress.",1.1
TCD,Overlapping and Conflicting ICCP License Requests Arbitration,description,Description *,"Validate that the arbitration logic correctly handles overlapping and conflicting ICCP license requests from both cores, always granting the maximum requested license and ensuring no deadlock or starvation occurs.",1.1.1
TCD,Overlapping and Conflicting ICCP License Requests Arbitration,description,Algorithm of Testing *,"Randomly generate simultaneous or closely sequenced ICCP license requests from both cores with overlapping and conflicting values, and observe arbitration and grant behavior.",1.1.1
TCD,Overlapping and Conflicting ICCP License Requests Arbitration,description,Randomization *,"Randomize ICCP[3:0] values (0-4 for clients, 1-4 for servers) and the timing of requests from both cores to create overlapping and conflicting scenarios.",1.1.1
TCD,Overlapping and Conflicting ICCP License Requests Arbitration,description,Required Configurations and Dependencies *,Both cores must be active and out of C6; ICCP request and grant signals must be observable; GV CTRL and PMA arbitration logic must be accessible for monitoring.,1.1.1
TCD,Overlapping and Conflicting ICCP License Requests Arbitration,description,Cross-Feature Interaction *,"Involves cores, PMA ICCP arbitration, GV CTRL, and TADREG for request handling and grant signaling.",1.1.1
TCD,Overlapping and Conflicting ICCP License Requests Arbitration,description,DFx Requirements *,"Ensure no deadlock, starvation, or dropped requests except when superseded by a higher request within the hysteresis window; monitor for correct arbitration and survivability.",1.1.1
TC,Simultaneous Overlapping ICCP License Requests Arbitration,description,TC Description *,"This test configures both cores to issue ICCP license requests with randomized legal values at the same time or in close succession, creating overlapping and conflicting scenarios. The arbitration logic is observed to ensure that the maximum requested license is always granted, and only the dominant license is applied. The test also checks that no deadlock or starvation occurs and that requests are not dropped unless superseded by a higher request within the hysteresis window.",1.1.1.1
TC,Simultaneous Overlapping ICCP License Requests Arbitration,description,Test Steps *,"1. Ensure both cores are active and out of C6. 2. Randomly select ICCP[3:0] values for each core within the legal range (0-4 for clients, 1-4 for servers). 3. Simultaneously or with minimal offset, set C2PmICCPRequestMXnnnH.Valid=1 and C2PmICCPRequestMXnnnH.ICCP[3:0] for both cores. 4. Monitor ICCPU2CGrantLicenseMnnnH signals to each core and the selected license in GV CTRL (pma_iccp, pma_gv_ctrl). 5. Repeat with various overlapping/conflicting value combinations. 6. Log arbitration outcomes and check for deadlock or starvation.",1.1.1.1
