hierarchy,title,field,subsection title,subsection content,record_id
TP,CCF Power Management Flows: Top-Level Validation,description,Overview *,"This test plan targets the top-level validation of CCF (Central Control Fabric) power management (PM) flows within the SOC. It covers coordinated power state transitions, resource arbitration, stress detection and response, license handshake and arbitration, policy-driven flow control, and system-level observability and debug. CCF integrates with PMA, Punit, and core modules to orchestrate power state changes (C-states, frequency/voltage scaling), manage exclusive access to shared resources (MLC flush, IOSF channels), and enforce system policies. Key interactions include cross-module synchronization, telemetry-driven stress handling, license negotiation, and debug visibility, ensuring robust and safe PM flow operation under normal and stress conditions.",1
TP,CCF Power Management Flows: Top-Level Validation,description,Scope *,"This test plan encompasses validation of: (1) coordinated state transitions and resource arbitration across cores/modules, including exclusive access scenarios; (2) telemetry and AI-based stress detection and response mechanisms for electrical, thermal, and power virus events; (3) license handshake and arbitration flows between PMA, Punit, and cores; (4) policy-driven flow control and ownership prioritization; (5) system-level observability and debug mechanisms for PM flows, stress events, and arbitration outcomes. The plan addresses normal operation, stress scenarios, contention, race conditions, and system recovery. It does not cover lower-level signal integrity or individual IP-specific PM flows outside CCF orchestration.",1
TP,CCF Power Management Flows: Top-Level Validation,description,Known_limitations *,,1
TP,CCF Power Management Flows: Top-Level Validation,description,Common_requirements *,"All features require access to SOC-level debug and telemetry infrastructure, programmable stress injection capabilities, and synchronized PMA/Punit/core interfaces. Test environment must support controlled stress event generation, license arbitration triggers, and policy configuration. Observability tools must be available for real-time status monitoring and debug.",1
TP,CCF Power Management Flows: Top-Level Validation,description,Security_threat_models *,"Potential security implications include unauthorized PM flow initiation, license spoofing, and denial-of-service via resource contention. Mitigations involve policy gating, license arbitration, and observability mechanisms to detect and prevent malicious or unintended transitions. Validation will ensure that security/performance policies are enforced and that flow ownership is correctly prioritized under stress and error conditions.",1
TP,CCF Power Management Flows: Top-Level Validation,description,Risks_and_contingencies *,"Risks include incomplete coverage of simultaneous stress events, false positives in stress detection, and loss of debug visibility under high contention. Contingencies involve fallback flows, enhanced observability, and additional stress scenario coverage to ensure robustness and survivability.",1
TP,CCF Power Management Flows: Top-Level Validation,description,Prerequisites *,"Prerequisites include validated PMA/Punit/core interfaces, functional telemetry and debug infrastructure, and programmable policy and license configuration. Stress injection tools and observability mechanisms must be operational prior to test execution.",1
TPF,Policy-Driven Flow Control and Ownership,description,Description *,"Validate that policy gating (Acode algorithms, security/performance policies) correctly enables/disables PM flows based on system state and stress/security conditions. Verify flow ownership and prioritization (thermal > throttle > normal), ensuring break events are handled according to defined hierarchy and module-level scope.",1.1
TCD,Policy Gating of Acode Features Based on Security/Performance Policy,description,Description *,"Validate that Acode features are gated per thread according to the policy field in CORE_PMA_CR_TELEM_UCODE_INFO_THREAD_x, with HGS controlled separately.",1.1.1
TCD,Policy Gating of Acode Features Based on Security/Performance Policy,description,Algorithm of Testing *,"Randomly configure policy field for all threads, enable/disable Acode features per thread, and monitor real-time gating behavior.",1.1.1
TCD,Policy Gating of Acode Features Based on Security/Performance Policy,description,Randomization *,Policy field values and Acode feature enable/disable states are randomized across all threads.,1.1.1
TCD,Policy Gating of Acode Features Based on Security/Performance Policy,description,Required Configurations and Dependencies *,"Requires access to CORE_PMA_CR_TELEM_UCODE_INFO_THREAD_x CR, Acode feature controls, and HGS knob.",1.1.1
TCD,Policy Gating of Acode Features Based on Security/Performance Policy,description,Cross-Feature Interaction *,"Acode features interact with policy field; HGS interacts with OS via dedicated knob; all other features are internal to core, punit, uncore, or OOBMSM.",1.1.1
TCD,Policy Gating of Acode Features Based on Security/Performance Policy,description,DFx Requirements *,HW infrastructure must support real-time policy updates and feature gating; telemetry reporting required.,1.1.1
TC,Random Policy Gating of Acode Features Per Thread,description,TC Description *,"Configure CORE_PMA_CR_TELEM_UCODE_INFO_THREAD_x[23:16] policy field to random values for all threads. Enable or disable Acode features per thread based on the policy. Monitor that all Acode features except HGS are gated according to the policy, and HGS is controlled by its dedicated knob. Verify real-time updates.",1.1.1.1
TC,Random Policy Gating of Acode Features Per Thread,description,Test Steps *,"1. Boot system in secured and normal flows. 2. For each thread, randomly set policy field in CORE_PMA_CR_TELEM_UCODE_INFO_THREAD_x. 3. Enable/disable Acode features per thread as dictated by policy. 4. Set HGS feature using its dedicated knob. 5. Observe Acode feature status and compare to policy field. 6. Repeat for multiple random policy values.",1.1.1.1
TC,Random Policy Gating of Acode Features Per Thread,description,Pass/Fail Criteria &amp; HW Errors *,Pass if all Acode features except HGS are enabled/disabled per policy field in real-time for all threads; fail if any feature does not match policy or HGS is not controlled by its knob.,1.1.1.1
TC,Random Policy Gating of Acode Features Per Thread,description,Intent Verify *,"Use Visa, PMON, and logs to confirm Acode feature status matches policy field and HGS knob setting.",1.1.1.1
