hierarchy,title,field,subsection title,subsection content,record_id
TP,CCF Power Management Flows: Top-Level Validation,description,Overview *,"This test plan targets the top-level validation of CCF (Central Control Fabric) power management (PM) flows within the SOC. It covers coordinated power state transitions, resource arbitration, stress detection and response, license handshake and arbitration, policy-driven flow control, and system-level observability and debug. CCF integrates with PMA, Punit, and core modules to orchestrate power state changes (C-states, frequency/voltage scaling), manage exclusive access to shared resources (MLC flush, IOSF channels), and enforce system policies. Key interactions include cross-module synchronization, telemetry-driven stress handling, license negotiation, and debug visibility, ensuring robust and safe PM flow operation under normal and stress conditions.",1
TP,CCF Power Management Flows: Top-Level Validation,description,Scope *,"This test plan encompasses validation of: (1) coordinated state transitions and resource arbitration across cores/modules, including exclusive access scenarios; (2) telemetry and AI-based stress detection and response mechanisms for electrical, thermal, and power virus events; (3) license handshake and arbitration flows between PMA, Punit, and cores; (4) policy-driven flow control and ownership prioritization; (5) system-level observability and debug mechanisms for PM flows, stress events, and arbitration outcomes. The plan addresses normal operation, stress scenarios, contention, race conditions, and system recovery. It does not cover lower-level signal integrity or individual IP-specific PM flows outside CCF orchestration.",1
TP,CCF Power Management Flows: Top-Level Validation,description,Known_limitations *,,1
TP,CCF Power Management Flows: Top-Level Validation,description,Common_requirements *,"All features require access to SOC-level debug and telemetry infrastructure, programmable stress injection capabilities, and synchronized PMA/Punit/core interfaces. Test environment must support controlled stress event generation, license arbitration triggers, and policy configuration. Observability tools must be available for real-time status monitoring and debug.",1
TP,CCF Power Management Flows: Top-Level Validation,description,Security_threat_models *,"Potential security implications include unauthorized PM flow initiation, license spoofing, and denial-of-service via resource contention. Mitigations involve policy gating, license arbitration, and observability mechanisms to detect and prevent malicious or unintended transitions. Validation will ensure that security/performance policies are enforced and that flow ownership is correctly prioritized under stress and error conditions.",1
TP,CCF Power Management Flows: Top-Level Validation,description,Risks_and_contingencies *,"Risks include incomplete coverage of simultaneous stress events, false positives in stress detection, and loss of debug visibility under high contention. Contingencies involve fallback flows, enhanced observability, and additional stress scenario coverage to ensure robustness and survivability.",1
TP,CCF Power Management Flows: Top-Level Validation,description,Prerequisites *,"Prerequisites include validated PMA/Punit/core interfaces, functional telemetry and debug infrastructure, and programmable policy and license configuration. Stress injection tools and observability mechanisms must be operational prior to test execution.",1
TPF,Stress Detection and Response Mechanisms,description,Description *,"Validate telemetry and AI-based detection of electrical, thermal, and power virus stress events. Trigger stress scenarios (simultaneous transitions, abnormal sensor readings) and verify that CCF/PMA responds with appropriate prevention actions (throttling, staggered transitions, aborts), including fallback and survivability flows. Observe system recovery and learning from false positives.",1.1
TCD,Thermal Stress Detection and Throttling Response Validation,description,Description *,"Validate PMA thermal event handling, sticky LOG bit behavior, and throttling response to simulated thermal excursions.",1.1.1
TCD,Thermal Stress Detection and Throttling Response Validation,description,Algorithm of Testing *,"Simulate thermal events by toggling THERM_STATUS_UPDATE bits, observe per-core THERM_STATUS LOG bits, and verify PMA throttling actions.",1.1.1
TCD,Thermal Stress Detection and Throttling Response Validation,description,Randomization *,"Randomly toggle THERM_STATUS_UPDATE bits, including simultaneous assertion of multiple bits, to cover complex stress scenarios.",1.1.1
TCD,Thermal Stress Detection and Throttling Response Validation,description,Required Configurations and Dependencies *,"PMA telemetry enabled, THERM_STATUS_UPDATE register access, CLPMA_CR_THROTTLE_CONFIG and PMA_CR_FORCE_THROTTLE_CONTROL for throttling, per-core THERM_STATUS register observability.",1.1.1
TCD,Thermal Stress Detection and Throttling Response Validation,description,Coverage *,"Sample all thermal event bits, verify sticky LOG behavior, and check recovery after event clearance.",1.1.1
TCD,Thermal Stress Detection and Throttling Response Validation,description,Cross-Feature Interaction *,"PMA, Punit, per-core THERM_STATUS registers, CLPMA_CR_THROTTLE_CONFIG, PMA_CR_FORCE_THROTTLE_CONTROL, and PMA telemetry interact for event handling and throttling.",1.1.1
TCD,Thermal Stress Detection and Throttling Response Validation,description,DFx Requirements *,"Observability of LOG bits, ability to clear LOG bits via Ucode, and debug registers for event tracking.",1.1.1
TC,Simulated Thermal Event Trigger and LOG Bit Validation,description,TC Description *,"Configure the system with all cores active and PMA telemetry enabled. Write to THERM_STATUS_UPDATE register at address 0xA204 to simulate thermal events by toggling bits such as THERMAL_MONITOR_STATUS, PROCHOT_STATUS, OUT_OF_SPEC_STATUS, THRESHOLD1_STATUS, THRESHOLD2_STATUS, POWER_LIMITATION_STATUS, CURRENT_LIMIT_STATUS, and CROSS_DOMAIN_LIMIT_STATUS. Observe per-core THERM_STATUS registers for correct sticky LOG bit behavior. Ensure that LOG bits are set on event transitions and only cleared by Ucode writes.",1.1.1.1
